Lugar_ID,Ciudad,GobAdmin_2,GobAdmin_1,Nacion,Longitud,Latitud
FR168,Bassac,Charente,Poitou-Charentes,7,-0.104503,45.663292
FR169,La Rochelle,Charente-Maritime,Poitou-Charentes,7,-1.151139,46.160329
FR170,Saint-Jean-d'Angely,Charente-Maritime,Poitou-Charentes,7,-0.517763,45.944823
FR171,Bressuire,Deux-Sevres,Poitou-Charentes,7,-0.492866,46.84246
FR172,Poitiers,Vienne,Poitou-Charentes,7,0.340375,46.580224
FR173,Nice,Alpes-Maritimes,Provence-Alpes-Cote d'Azur,7,7.2619532,43.7101728
FR174,Aix-en-Provence,Bouches-du-Rhone,Provence-Alpes-Cote d'Azur,7,5.447427,43.529742
FR175,Draguignan,Var,Provence-Alpes-Cote d'Azur,7,6.464993,43.537727
FR176,Avignon,Vaucluse,Provence-Alpes-Cote d'Azur,7,4.805528,43.949317
FR177,Boissey,Ain,Rhone-Alpes,7,4.996962,46.3812
FR178,Aubenas,Ardeche,Rhone-Alpes,7,4.389863,44.620909
FR179,Vivarais,Ardeche,Rhone-Alpes,7,4.691053,44.480269
FR180,Chamonix,Haute-Savoie,Rhone-Alpes,7,6.869433,45.923697
FR181,Talloires,Haute-Savoie,Rhone-Alpes,7,6.2151189,45.839395
FR182,Avalon,Isere,Rhone-Alpes,7,3.907399,47.488173
FR183,La Tour-du-Pin,Isere,Rhone-Alpes,7,5.445327,45.564026
FR184,NA,Isere,Rhone-Alpes,7,NA,NA
FR185,Lyon,Rhone,Rhone-Alpes,7,4.835659,45.764043
FR186,Chambery,Savoie,Rhone-Alpes,7,5.917781,45.564601
FR187,NA,Savoie,Rhone-Alpes,7,NA,NA
FR188,NA,NA,Valais,7,NA,NA
FR189,Honnecourt-sur-Escaut,Nord-Pas-de-Calais,Nord,7,3.199481,50.038278
G0,Achern,Freiburg,Baden-Wurttemberg,8,8.07492,48.6266
G1,Appenweier,Freiburg,Baden-Wurttemberg,8,7.9745,48.5477
G2,Badenweiler,Freiburg,Baden-Wurttemberg,8,7.67211,47.8027
G3,Bernau im Schwarzwald,Freiburg,Baden-Wurttemberg,8,8.06365,47.7925
G4,Black Forest,Freiburg,Baden-Wurttemberg,8,7.82537,48.3556
G5,Braunlingen,Freiburg,Baden-Wurttemberg,8,8.44544,47.9294
G6,Breisach,Freiburg,Baden-Wurttemberg,8,7.5836067,48.0348382
G7,Brigach,Freiburg,Baden-Wurttemberg,8,8.28305,48.1071
G8,Burkheim,Freiburg,Baden-Wurttemberg,8,7.59347,48.1013
G9,Diersburg,Freiburg,Baden-Wurttemberg,8,7.93809,48.3989
G10,Donaueschingen,Freiburg,Baden-Wurttemberg,8,8.4979461,47.9521523
G11,Dornhan,Freiburg,Baden-Wurttemberg,8,8.50887,48.3493
G12,Efringen-Kirchen,Freiburg,Baden-Wurttemberg,8,7.5676,47.6532
G13,Elzach,Freiburg,Baden-Wurttemberg,8,8.06868,48.1732
G14,Endingen,Freiburg,Baden-Wurttemberg,8,7.70059,48.1437
G15,Erolzheim,Freiburg,Baden-Wurttemberg,8,10.0708,48.0917
G16,Ettenheim,Freiburg,Baden-Wurttemberg,8,7.8138072,48.2565786
G17,Freiburg,Freiburg,Baden-Wurttemberg,8,7.8421043,47.9990077
G18,Gengenbach,Freiburg,Baden-Wurttemberg,8,8.0096,48.4098
G19,Grafenhausen,Freiburg,Baden-Wurttemberg,8,8.25521,47.7757
G20,Gundelfingen,Freiburg,Baden-Wurttemberg,8,7.86552,48.043
G21,Harmersbach,Freiburg,Baden-Wurttemberg,8,8.01096,48.2408
G22,Haslach im Kinzigtal,Freiburg,Baden-Wurttemberg,8,8.09,48.2774
G23,Heidelberg,Freiburg,Baden-Wurttemberg,8,8.67243,49.3988
G24,Hofweier,Freiburg,Baden-Wurttemberg,8,7.90955,48.4241
G25,Hohentwiel,Freiburg,Baden-Wurttemberg,8,8.8188889,47.7647222
G26,Hornberg,Freiburg,Baden-Wurttemberg,8,8.23197,48.2099
G27,Hufingen,Freiburg,Baden-Wurttemberg,8,8.48753,47.9284
G28,Isny im Allgau,Freiburg,Baden-Wurttemberg,8,10.042,47.695
G29,Kenzingen,Freiburg,Baden-Wurttemberg,8,7.76968,48.1955
G30,Kloster Wittichen,Freiburg,Baden-Wurttemberg,8,8.34732,48.335
G31,Konigsheim,Freiburg,Baden-Wurttemberg,8,8.86279,48.1009
G32,Konstanz,Freiburg,Baden-Wurttemberg,8,9.1732384,47.6779496
G33,Konstanz,Freiburg,Baden-Wurttemberg,8,9.17324,47.6779
G34,Lahr,Freiburg,Baden-Wurttemberg,8,7.86667,48.3333
G35,Lenzkirch,Freiburg,Baden-Wurttemberg,8,8.20426,47.8692
G36,Markgraflerland,Freiburg,Baden-Wurttemberg,8,7.55352,47.7336
G37,NA,Freiburg,Baden-Wurttemberg,8,NA,NA
G38,Neuried,Freiburg,Baden-Wurttemberg,8,7.80236,48.4489
G39,Nimburg,Freiburg,Baden-Wurttemberg,8,7.7806,48.1062
G40,Oberkirch,Freiburg,Baden-Wurttemberg,8,8.07678,48.5336
G41,Oberndorf am Neckar,Freiburg,Baden-Wurttemberg,8,8.57658,48.2946
G42,Offenburg,Freiburg,Baden-Wurttemberg,8,7.9498,48.4735
G43,Oppenau,Freiburg,Baden-Wurttemberg,8,8.16158,48.4743
G44,Ortenaukreis,Freiburg,Baden-Wurttemberg,8,7.94714,48.3645
G45,Rammersweier,Freiburg,Baden-Wurttemberg,8,7.96909,48.4821
